RecordID,Company,Fiscal Year,Total Revenue,Net Income,Total Assets,Total Liabilities,Cash Flow from Operating Activities,Source,Note
2011,Tesla,2022,78961648292,12247969219,82833345851,42204901208,15931691018,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2012,Tesla,2022,84385314488,12085013906,82139126771,44010142428,15301018355,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2013,Microsoft,2021,1.71E+11,57201809203,3.22E+11,1.81E+11,64234776865,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2014,Microsoft,2023,2.16E+11,82947933980,3.42E+11,2.06E+11,77627415898,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2015,Tesla,2023,77829069702,15172860485,82001326842,43392602831,16946762326,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2016,Microsoft,2021,1.61E+11,61001938308,3.04E+11,1.89E+11,62403498231,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2017,Apple,2023,3.91E+11,1.02E+11,3.49E+11,2.92E+11,1.07E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2018,Microsoft,2021,1.69E+11,62009260445,3.16E+11,1.83E+11,59601506493,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2019,Tesla,2023,82274610424,15773748114,78840536567,43625652813,17772466640,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2020,Tesla,2022,83337788254,11808521752,79557968029,43053614150,15033915203,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2021,Apple,2021,3.56E+11,98649077158,3.58E+11,2.99E+11,99793347275,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2022,Microsoft,2023,2.10E+11,81099712373,3.86E+11,2.08E+11,82998373371,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2023,Tesla,2023,83790992970,15097174906,85545127164,41365318638,17168656978,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2024,Apple,2021,3.50E+11,98544161881,3.37E+11,2.72E+11,1.05E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2025,Apple,2021,3.67E+11,98118765110,3.54E+11,2.84E+11,1.05E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2026,Tesla,2022,86082303046,12090524853,80384910807,42574515564,14880681269,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2027,Microsoft,2023,2.27E+11,86185180392,3.46E+11,2.06E+11,84032336120,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2028,Microsoft,2022,2.05E+11,71914016432,3.47E+11,1.91E+11,72334452121,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2029,Microsoft,2022,2.05E+11,70818526989,3.18E+11,1.96E+11,71687606116,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2030,Tesla,2022,83015173540,11946467438,81561653122,41650560513,15068873400,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2031,Microsoft,2023,2.08E+11,82915543525,3.51E+11,2.26E+11,84777876956,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2032,Apple,2022,4.02E+11,99385913583,3.58E+11,2.90E+11,1.05E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2033,Tesla,2023,79227022691,14700401624,79812856358,42691827819,17036465794,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2034,Apple,2022,3.92E+11,1.03E+11,3.66E+11,2.85E+11,1.08E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2035,Microsoft,2021,1.78E+11,62557376441,3.17E+11,1.82E+11,61085905381,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2036,Tesla,2023,80016660159,14834120426,87649317166,44100709750,17988113723,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2037,Microsoft,2022,1.98E+11,72830075696,3.15E+11,1.82E+11,75433781625,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2038,Tesla,2022,75587410868,12451576352,81913514490,44333350561,14908525766,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2039,Tesla,2021,53773386223,5902782,63643143376,29727945566,5993870001,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2040,Microsoft,2022,1.92E+11,71113006423,3.39E+11,1.89E+11,73935941300,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2041,Microsoft,2023,2.04E+11,85541214767,3.76E+11,1.96E+11,86710543310,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2042,Tesla,2023,84966687521,14703546967,78310649862,42456410844,17244143011,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2043,Tesla,2023,80205320953,15522155021,77545492343,42791637332,17821217667,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2044,Microsoft,2023,2.16E+11,82758822308,3.65E+11,2.07E+11,82366769208,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2045,Apple,2023,4.03E+11,96763292292,3.27E+11,2.94E+11,1.07E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2046,Apple,2023,3.78E+11,1.02E+11,3.57E+11,2.93E+11,1.04E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2047,Microsoft,2021,1.70E+11,64710352590,3.02E+11,1.81E+11,63195033121,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2048,Apple,2022,3.95E+11,99571869092,3.78E+11,2.82E+11,1.09E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2049,Microsoft,2022,1.87E+11,68643138238,3.34E+11,1.92E+11,71264936590,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2050,Microsoft,2023,2.12E+11,87433719577,3.56E+11,2.06E+11,81608986937,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2051,Microsoft,2023,2.11E+11,82373172794,3.56E+11,2.20E+11,83729741479,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2052,Tesla,2022,79627069836,11928138035,83698552837,39231282527,15046795999,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2053,Tesla,2021,52586338790,5703833,58539912400,28742106866,6081986099,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2054,Apple,2022,3.97E+11,96734366612,3.56E+11,2.85E+11,1.14E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2055,Apple,2021,3.80E+11,94197873658,3.41E+11,2.74E+11,1.00E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2056,Apple,2022,4.05E+11,1.01E+11,3.34E+11,2.92E+11,1.06E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2057,Tesla,2021,51285098629,5554319,60571744507,29777403922,6055929173,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2058,Apple,2021,3.63E+11,94030974115,3.47E+11,2.93E+11,1.04E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2059,Microsoft,2022,2.00E+11,70171465759,3.26E+11,2.04E+11,70975165704,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2060,Apple,2022,4.09E+11,1.01E+11,3.48E+11,2.73E+11,1.11E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2061,Tesla,2023,78978077333,15319759598,84405108442,43386512628,16471700469,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2062,Microsoft,2021,1.72E+11,61944510833,2.89E+11,1.71E+11,58124117625,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2063,Tesla,2023,82095461590,14869673263,81289620170,43547614874,17796464657,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2064,Microsoft,2021,1.72E+11,63177007319,3.13E+11,1.85E+11,61715125941,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2065,Tesla,2023,80924205283,14817641011,83324170669,40766229643,16879633596,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2066,Microsoft,2022,1.97E+11,68531906135,3.33E+11,1.99E+11,73712958669,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2067,Apple,2023,3.80E+11,93725561467,3.48E+11,2.77E+11,99948664765,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2068,Microsoft,2023,2.18E+11,84620026799,3.45E+11,2.08E+11,89546295282,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2069,Tesla,2023,80033556392,14351520033,83151563560,42762275627,16416561229,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2070,Microsoft,2022,1.86E+11,72012497032,3.38E+11,1.88E+11,72666458621,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2071,Tesla,2022,79489093707,11379105844,79358929320,43746833918,15394193459,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2072,Apple,2021,3.69E+11,90557531085,3.42E+11,2.79E+11,99987874362,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2073,Microsoft,2021,1.63E+11,60569229698,3.00E+11,1.78E+11,64840847808,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2074,Apple,2021,3.81E+11,97232543201,3.61E+11,2.78E+11,1.03E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2075,Microsoft,2023,2.04E+11,82172036672,3.55E+11,2.05E+11,81207593974,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2076,Microsoft,2022,1.96E+11,70260167556,3.25E+11,1.95E+11,74294992737,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2077,Microsoft,2021,1.59E+11,62607534133,3.04E+11,1.81E+11,61468694604,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2078,Tesla,2021,52477609315,5456994,61923698099,29638684425,6156026537,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2079,Apple,2021,3.65E+11,94020276728,3.47E+11,2.86E+11,1.01E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2080,Microsoft,2022,1.95E+11,71628468246,3.43E+11,1.99E+11,69622235428,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2081,Tesla,2022,82244932429,11417455985,83888592297,40621765915,15718300489,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2082,Apple,2021,3.65E+11,93735986338,3.43E+11,2.80E+11,1.03E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2083,Tesla,2022,81226133502,12594875901,80297776072,42075621197,15652733021,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2084,Tesla,2022,82125786868,12314408396,79082460512,42871588958,14078512196,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2085,Tesla,2023,78064221523,15244504560,77679293126,44772326964,16953484770,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2086,Tesla,2021,53121867118,5335231,59836517722,30151571414,5886993848,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2087,Microsoft,2022,1.91E+11,70487378751,3.16E+11,1.99E+11,74598428134,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2088,Microsoft,2022,1.93E+11,70303399693,3.33E+11,2.03E+11,73109408929,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2089,Tesla,2022,81510022449,11952176358,84430799273,43101500445,14932923029,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2090,Apple,2023,3.66E+11,93232116976,3.55E+11,2.89E+11,1.04E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2091,Tesla,2023,82178675794,15011077343,81971938468,43663962858,16666941521,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2092,Tesla,2021,54362527731,5719586,64368031900,29111704690,6082295798,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2093,Microsoft,2022,2.04E+11,71570780338,3.39E+11,1.98E+11,72826134403,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2094,Tesla,2023,82279853627,15623326547,78707063178,44991667964,17196001041,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2095,Tesla,2022,87258054244,12170685093,83570702311,42606109228,14689736579,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2096,Microsoft,2023,2.19E+11,82997880873,3.63E+11,2.04E+11,81184801336,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2097,Tesla,2022,81133199965,11976283767,80812121642,42272078133,14956589120,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2098,Apple,2022,3.92E+11,1.03E+11,3.55E+11,2.94E+11,1.04E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2099,Tesla,2021,51323231467,5559134,63216324352,30447488171,6189914543,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2100,Microsoft,2022,1.99E+11,71849601155,3.34E+11,2.05E+11,74837611846,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2101,Apple,2022,3.66E+11,99384175927,3.65E+11,2.87E+11,1.09E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2102,Apple,2021,3.67E+11,96071398086,3.41E+11,2.97E+11,1.03E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2103,Tesla,2023,83816442013,15484387010,80322288613,43122684355,16774317071,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2104,Microsoft,2022,2.11E+11,71603679278,3.38E+11,1.89E+11,71334820308,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2105,Microsoft,2021,1.72E+11,59226425133,3.19E+11,1.96E+11,59374970161,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2106,Apple,2022,4.02E+11,95945036689,3.62E+11,2.87E+11,1.11E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2107,Apple,2023,3.70E+11,1.03E+11,3.47E+11,2.80E+11,1.05E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2108,Microsoft,2023,2.14E+11,83937907305,3.70E+11,2.11E+11,81381695522,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2109,Microsoft,2021,1.72E+11,60443249651,3.04E+11,1.85E+11,57866593054,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2110,Apple,2023,3.90E+11,98251765408,3.49E+11,3.03E+11,1.04E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2111,Microsoft,2022,1.90E+11,74528903748,3.38E+11,2.02E+11,72051930000,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2112,Tesla,2021,51538033707,5327768,60329730146,30533161105,5908507506,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2113,Tesla,2023,78034063407,16018313795,79144258949,43284906359,16135024208,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2114,Microsoft,2021,1.66E+11,59920662393,3.01E+11,1.89E+11,60285981568,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2115,Tesla,2023,81928453955,15124415797,79171754810,43170919571,17516429991,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2116,Apple,2022,3.74E+11,99343543518,3.55E+11,2.78E+11,1.14E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2117,Microsoft,2021,1.70E+11,60479909716,2.95E+11,1.84E+11,62176421174,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2118,Microsoft,2021,1.68E+11,63263900089,3.22E+11,1.82E+11,58713781814,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2119,Microsoft,2021,1.72E+11,60914406819,2.90E+11,1.89E+11,60013938915,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2120,Apple,2022,4.05E+11,99557694853,3.60E+11,2.88E+11,1.16E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2121,Apple,2021,3.55E+11,92897207732,3.28E+11,3.01E+11,1.09E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2122,Microsoft,2021,1.63E+11,60765019706,3.01E+11,1.78E+11,60658039641,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2123,Microsoft,2022,1.96E+11,72482677399,3.48E+11,1.93E+11,73374226115,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2124,Apple,2022,4.03E+11,1.05E+11,3.60E+11,2.78E+11,1.05E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2125,Microsoft,2023,2.19E+11,85393521247,3.59E+11,2.07E+11,78848990950,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2126,Microsoft,2022,1.99E+11,74057528590,3.26E+11,1.94E+11,76068010000,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2127,Tesla,2021,54893424863,5656304,62454679610,29749100572,6158219749,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2128,Microsoft,2021,1.72E+11,60544113523,3.00E+11,1.90E+11,63195094086,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2129,Apple,2023,3.73E+11,1.05E+11,3.47E+11,2.93E+11,1.06E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2130,Tesla,2021,52681628911,5566475,62614235775,29583588695,6157200616,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2131,Tesla,2022,74899947457,12032937514,79787950004,43033793471,15429605250,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2132,Microsoft,2023,2.12E+11,83521246045,3.67E+11,2.12E+11,82381319289,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2133,Tesla,2023,84760824623,15333512239,82508544427,43781093786,16968875926,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2134,Microsoft,2022,1.99E+11,68477051829,3.25E+11,1.95E+11,73721483156,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2135,Microsoft,2021,1.68E+11,60587946446,3.05E+11,1.95E+11,60706067923,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2136,Tesla,2022,83822709033,12043556224,80442873559,43255740282,14807399956,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2137,Apple,2021,3.65E+11,93823693665,3.61E+11,2.84E+11,1.00E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2138,Microsoft,2021,1.66E+11,59041868866,2.90E+11,1.81E+11,60870141001,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2139,Apple,2021,3.64E+11,95329581848,3.41E+11,2.85E+11,1.01E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2140,Tesla,2022,81147891007,11443929890,82818639898,43685840945,14389927832,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2141,Tesla,2023,78474147043,14957869588,83206206592,42665576112,16129743739,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2142,Tesla,2022,78174953079,11479311806,76694419485,41103178190,14721322874,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2143,Microsoft,2022,1.95E+11,70666806466,3.41E+11,1.86E+11,73234176587,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2144,Tesla,2021,50174658255,5750667,60954461333,29999192594,6118381894,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2145,Tesla,2022,86456194338,12083640393,83624457035,40119238984,15983902166,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2146,Microsoft,2021,1.62E+11,62632550992,3.10E+11,1.78E+11,59097200830,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2147,Apple,2022,4.07E+11,1.03E+11,3.42E+11,3.02E+11,1.05E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2148,Tesla,2022,79949363367,11790811989,82685494402,43428987508,14868283868,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2149,Tesla,2023,84312557012,15359038352,83956580465,41542821043,17269762179,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2150,Tesla,2023,79343116142,14984258716,80141174472,43690387196,16614157780,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2151,Apple,2022,4.04E+11,94265894676,3.43E+11,2.75E+11,1.08E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2152,Apple,2021,3.71E+11,92438966887,3.32E+11,2.69E+11,1.06E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2153,Apple,2022,3.93E+11,98236451483,3.69E+11,2.77E+11,1.10E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2154,Apple,2023,3.89E+11,95281922570,3.40E+11,2.89E+11,1.02E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2155,Apple,2021,3.62E+11,92743149782,3.47E+11,2.93E+11,1.06E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2156,Tesla,2021,56319536358,5392501,59609027148,28472416127,6196673233,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2157,Tesla,2023,86840532601,15683582903,81631105929,41130161355,18164265553,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2158,Apple,2023,3.75E+11,95629026824,3.55E+11,2.81E+11,1.05E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2159,Microsoft,2021,1.69E+11,63304727697,3.23E+11,1.88E+11,64505897566,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2160,Apple,2023,3.76E+11,1.04E+11,3.55E+11,2.92E+11,1.09E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2161,Tesla,2023,85135128164,14329137028,85963736168,42614077024,18079133866,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2162,Tesla,2021,54841625555,5515532,64260613082,30246845537,5647385626,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2163,Apple,2021,3.70E+11,92572147454,3.53E+11,2.90E+11,1.03E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
2164,Apple,2022,3.86E+11,95709951994,3.53E+11,2.92E+11,1.08E+11,SIMULATED - based on user-provided / approximate centers,Synthetic record for modeling/training; not a substitute for SEC 10-K extraction
